"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-11,586;11,586;-9,062;9,062;147,005;12,124;2,31389005306704
"x1";-1,094;1,094;-1,448;1,448;1,446;1,202;2,42190797720902
"x2";-3,23;3,476;-3,198;3,429;17,877;4,228;1,51394172284213
"x3";4,213;4,213;3,931;3,931;20,479;4,525;1,58357392172777
"x4";-0,727;0,727;-0,794;0,794;0,556;0,745;2,88879098657843
"x5";-12,632;12,632;-18,639;18,639;189,138;13,752;1,75131631667549
"x6";3,004;3,557;2,358;2,819;20,377;4,514;0,884554000017059
"x7";0,198;5,378;-0,228;5,591;40,428;6,358;0,614444459590168
"x8";-7,344;7,344;-8,149;8,149;57,641;7,592;3,93459293776152
"x9";-3,852;3,852;-4,009;4,009;16,26;4,032;2,22541665622973
"x10";-6,44;6,44;-5,683;5,683;42,643;6,53;4,43637784370622
"x11";-5,514;5,514;-5,628;5,628;30,709;5,541;5,89626852013205
"x12";2,688;4,651;2,181;3,997;31,494;5,611;1,12676204595621
"x13";-13,33;13,33;-13,527;13,527;192,803;13,885;2,13033890199081
"x14";-3,473;3,491;-3,714;3,731;31,99;5,655;0,732526694090489
"x15";-0,13;1,935;-0,23;2,308;4,505;2,122;0,668481804085231
"x16";1,259;1,259;1,26;1,26;2,068;1,438;1,20849868730152
"x17";35,597;35,597;17,842;17,842;1636,014;40,447;1,50990751560647
"x18";6,86;6,86;5,208;5,208;67,508;8,216;1,65735758122927
"x19";3,815;3,815;3,088;3,088;17,656;4,202;1,54817939399325
"x20";-6,329;6,329;-5,728;5,728;40,977;6,401;4,74933580879481
"x21";-1,565;10,278;-2,357;9,074;141,836;11,909;0,939924058168067
"x22";1,474;1,474;1,526;1,526;2,461;1,568;1,95081864261951
"x23";-8,875;8,875;-9,931;9,931;88,776;9,422;2,94202929030809
"x24";3,651;3,651;3,229;3,229;16,671;4,083;1,94577982590291
"x25";0,446;1,415;0,428;1,447;3,219;1,794;0,696860261816741
"x26";-1,028;1,028;-0,992;0,992;1,145;1,07;2,54625275556463
"x27";-4,295;5,209;-4,939;5,888;34,567;5,879;1,15452702070483
"x28";-3,933;3,933;-3,79;3,79;18,09;4,253;1,53144151161797
