TIME,Belgium,Bulgaria,Czechia,Denmark,Germany,Spain,France,Croatia,Italy,Luxembourg,Hungary,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
2017-01,96.4,73.7,90.4,109.6,101.4,102.7,100.9,98.5,95.5,94.6,87.8,112.2,101.0,87.8,99.6,92.4,78.3,87.8,111.3,111.4
2017-02,101.6,84.3,90.7,106.9,108.3,105.6,103.0,107.3,100.5,103.1,93.6,114.0,105.3,85.1,99.3,96.0,95.5,90.5,110.1,106.7
2017-03,101.7,88.5,97.2,103.6,108.7,99.6,101.4,106.4,102.3,105.9,97.0,116.6,106.8,95.2,97.2,98.8,108.6,93.0,110.2,105.0
2017-04,101.1,86.7,97.8,113.0,110.4,105.3,102.8,105.7,99.3,100.8,94.0,115.4,107.0,94.4,96.9,88.6,107.8,94.6,111.3,114.5
2017-05,101.6,89.5,98.2,107.8,109.6,102.2,103.8,104.9,101.8,108.7,103.2,115.5,109.8,92.8,96.6,89.9,97.2,89.5,111.2,115.1
2017-06,100.4,89.4,99.4,107.7,108.8,106.3,101.2,106.1,100.1,105.0,102.9,118.5,107.9,95.3,97.2,92.3,112.2,93.5,109.9,115.3
2017-07,101.9,89.1,96.1,110.2,109.6,105.9,103.3,104.7,100.0,105.1,96.4,117.6,107.6,101.0,97.7,97.2,103.2,95.1,111.0,114.6
2017-08,100.7,89.7,98.1,108.5,109.4,105.0,103.1,104.5,101.8,106.1,111.7,118.5,109.1,99.5,97.7,92.3,99.2,92.9,111.4,115.2
2017-09,100.4,90.1,96.5,109.5,109.4,105.4,101.4,105.6,100.3,107.1,109.2,118.3,109.6,99.9,98.0,86.1,103.8,89.0,111.5,116.9
2017-10,102.7,89.4,98.3,109.9,109.4,104.7,103.4,107.3,102.5,105.3,115.0,118.4,110.9,100.2,97.6,87.0,116.3,94.5,110.4,116.3
2017-11,102.1,90.9,102.2,110.6,109.8,105.1,102.2,106.7,102.5,108.2,112.5,120.3,113.3,103.0,97.4,87.5,116.3,97.6,111.0,119.3
2017-12,102.3,87.2,100.5,113.2,110.1,97.8,107.1,111.5,104.2,104.2,119.3,120.3,113.1,107.5,100.0,93.3,121.4,89.1,111.6,120.0
2018-01,103.2,90.4,99.3,112.4,109.6,104.8,100.8,104.3,102.8,122.0,122.3,117.8,111.2,114.3,101.7,98.1,134.7,95.1,112.9,119.2
2018-02,100.6,87.6,101.9,111.3,104.7,105.7,101.2,104.7,99.3,94.9,113.5,118.7,112.9,109.6,101.2,98.7,104.0,96.0,110.9,119.0
2018-03,103.3,87.1,99.3,112.4,105.9,110.0,98.4,106.8,97.8,107.6,95.2,116.5,109.0,111.2,100.2,89.0,108.3,98.7,110.8,117.9
2018-04,100.2,89.3,101.5,108.9,107.7,103.4,103.2,109.4,100.6,105.7,107.5,125.1,112.8,109.9,100.6,89.6,122.8,99.3,109.2,114.4
2018-05,102.9,89.6,107.2,111.2,111.5,106.1,99.2,111.1,101.9,106.8,117.8,123.6,117.0,114.6,100.7,94.9,127.5,92.9,112.8,121.5
2018-06,102.7,88.6,106.6,115.5,108.3,103.7,103.2,110.0,104.6,111.3,127.5,124.1,116.7,118.8,101.0,91.0,125.5,98.9,114.6,129.4
2018-07,103.0,89.1,107.6,113.3,109.8,103.8,102.9,112.0,103.5,106.9,128.2,120.0,117.3,118.1,101.1,82.9,132.4,102.5,113.5,122.4
2018-08,102.4,89.0,109.4,112.8,109.2,104.4,103.0,115.1,102.5,112.0,139.5,123.6,116.1,119.8,102.4,85.0,133.3,104.2,114.3,124.4
2018-09,103.0,87.5,109.9,114.2,111.1,107.2,105.3,113.5,102.9,105.7,136.8,123.9,119.1,119.4,102.1,84.9,134.5,100.8,112.7,123.0
2018-10,103.3,89.9,108.3,113.9,110.0,104.9,102.2,113.9,102.5,112.8,137.4,124.8,120.6,121.7,101.9,84.0,135.5,103.9,114.5,122.6
2018-11,103.5,89.5,103.8,113.6,109.2,105.6,102.6,115.2,104.2,110.3,143.0,126.5,116.7,122.2,100.6,86.0,135.3,104.9,114.3,124.9
2018-12,105.0,90.4,106.3,114.3,112.2,108.2,106.9,115.7,105.0,110.8,143.4,126.8,124.3,122.2,101.7,85.6,124.8,99.6,118.1,122.3
2019-01,101.6,90.3,107.5,112.0,109.6,105.1,101.4,119.5,102.6,109.5,155.9,124.9,118.9,117.2,102.8,92.8,133.5,93.8,112.3,122.5
2019-02,104.6,92.2,108.2,114.7,114.6,104.0,106.1,118.4,107.1,111.6,158.3,132.2,119.9,123.4,103.2,103.7,143.0,95.8,113.8,122.5
2019-03,104.1,95.4,108.6,125.9,114.4,104.7,106.2,118.3,105.4,109.3,154.5,128.3,122.3,124.1,104.0,105.9,135.6,96.7,114.1,124.2
2019-04,107.3,95.4,110.0,107.8,114.0,106.0,101.2,118.9,104.1,112.1,152.3,128.2,122.0,125.0,106.6,122.8,134.2,96.8,115.6,121.8
2019-05,103.3,94.1,109.4,116.6,111.9,106.2,103.7,118.2,105.0,104.4,147.6,131.5,121.0,122.8,103.9,114.5,141.2,97.1,113.6,121.7
2019-06,101.6,90.6,111.6,111.5,112.0,104.7,104.8,115.2,106.6,104.0,150.9,124.4,123.5,123.5,103.3,110.6,134.6,97.5,113.3,120.5
2019-07,102.5,91.9,112.6,115.1,113.6,103.8,102.3,119.1,105.3,108.8,166.5,125.7,124.4,124.5,104.4,114.8,128.0,94.8,113.8,123.1
2019-08,100.1,91.7,108.6,114.9,112.5,101.8,100.3,119.7,104.9,111.1,153.2,130.5,122.3,126.3,104.9,116.4,127.1,97.2,114.2,122.8
2019-09,100.6,91.4,109.6,114.9,113.6,100.2,103.6,121.5,104.3,110.0,157.9,131.7,122.1,126.4,103.9,113.0,123.4,103.0,114.5,120.7
2019-10,100.0,91.5,109.7,115.3,111.6,101.7,100.7,122.2,106.1,114.8,163.3,127.8,125.8,118.3,104.1,111.0,130.8,101.4,115.0,124.5
2019-11,101.6,90.5,109.2,116.4,113.4,100.2,104.8,124.0,102.0,109.8,148.5,127.9,126.4,121.7,103.9,112.9,126.0,91.7,114.8,122.3
2019-12,99.8,90.4,111.3,113.7,112.4,96.8,99.7,126.1,106.3,113.8,148.5,126.7,126.0,116.8,103.3,110.9,131.3,92.1,114.9,124.3
2020-01,101.6,90.9,110.8,114.4,119.1,95.7,101.4,128.0,112.1,125.4,146.6,132.6,127.9,126.2,102.4,135.7,139.4,97.3,116.1,123.1
2020-02,99.7,90.4,111.8,117.4,117.5,97.7,102.3,131.4,109.1,113.0,167.1,131.8,127.8,129.6,104.2,130.7,144.1,99.6,116.6,122.7
2020-03,87.3,85.3,108.6,110.8,118.5,95.1,62.3,116.8,67.3,72.2,149.9,132.8,113.9,124.5,99.5,136.2,134.3,93.8,116.6,123.8
2020-04,84.1,84.7,107.7,121.5,113.6,73.8,35.5,113.8,32.1,50.9,150.4,128.9,99.7,122.7,92.5,133.8,122.6,83.9,115.9,126.2
2020-05,93.6,84.9,103.6,116.6,113.8,91.6,82.2,116.1,87.8,96.9,121.6,126.8,111.2,118.8,96.0,128.2,120.8,86.3,114.7,125.1
2020-06,95.9,88.2,101.2,117.8,116.2,92.5,92.1,124.9,101.7,101.5,126.7,127.9,115.9,115.9,99.4,124.1,114.5,79.2,113.7,125.0
2020-07,98.1,87.5,101.5,116.0,111.8,91.9,95.7,124.1,105.9,113.3,131.3,127.8,117.4,112.0,101.0,130.5,128.0,80.4,113.8,118.0
2020-08,96.3,86.8,101.3,119.3,112.6,91.9,103.5,124.3,117.7,102.0,133.1,124.9,120.3,112.1,103.0,132.5,128.7,78.8,113.2,118.5
2020-09,96.4,87.7,101.1,119.7,113.9,90.2,94.9,127.4,108.8,109.7,134.7,127.0,122.7,112.3,102.7,135.9,132.2,78.7,113.1,122.5
2020-10,96.6,86.5,100.9,120.4,114.8,88.4,95.0,129.1,107.6,105.7,137.4,129.1,119.7,114.5,101.6,136.0,131.1,75.0,112.4,117.8
2020-11,95.9,86.2,102.7,120.6,117.1,87.7,100.3,129.8,110.2,110.0,153.2,128.6,125.7,113.8,101.6,126.4,146.4,82.6,112.9,118.5
2020-12,94.9,86.2,100.0,119.5,124.4,89.0,91.6,131.1,105.7,113.3,148.1,128.2,116.1,116.0,100.1,129.2,130.3,90.1,111.1,117.9
2021-01,101.5,85.5,104.3,122.1,111.1,88.3,103.8,134.4,111.2,115.9,155.8,131.0,122.1,115.7,99.7,129.0,132.9,87.9,112.6,119.2
2021-02,96.5,87.8,101.2,121.3,109.6,84.7,98.7,135.7,112.7,108.8,139.6,126.9,129.2,108.1,99.1,133.9,130.7,82.9,112.3,124.9
2021-03,101.5,88.9,104.3,121.4,121.4,83.8,91.5,135.1,116.8,117.6,155.6,130.0,135.5,111.2,102.3,135.0,135.4,90.4,112.7,121.0
