"";"Belgium";"Bulgaria";"Czechia";"Denmark";"Germany";"Estonia";"Ireland";"Greece";"Spain";"France";"Croatia";"Italy";"Cyprus";"Latvia";"Lithuania";"Luxembourg";"Hungary";"Malta";"Netherlands";"Austria";"Poland";"Portugal";"Romania";"Slovenia";"Slovakia";"Finland";"Sweden";"Norway";"Switzerland"
"N:";51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"NaN:";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Min:";92,6;71;81,9;81,9;77,5;64,7;104;87,6;82;83;90,1;91,6;87,6;83,2;93;76,6;93,3;74,2;102,8;104;91,7;92,2;93,9;86;100,7;87,1;91,6;86,8;79,9
"1sq QU:";116,75;75,8;101,45;94,9;89,45;74,45;113,65;99,15;93;96,1;106,9;99,9;106,5;100,85;99,55;87,5;97,2;129,3;107,85;115,1;104,75;110,75;98,05;91,5;106,75;96,4;98,9;96,3;95,75
"Median:";127;83,5;105,2;100,7;95,9;96;120;104,2;96,8;99,1;113,2;102,5;110,2;106,9;103,7;94,1;99,4;150,3;112,8;122,6;108,6;114,5;102,4;97,3;109,9;99,2;100,8;100,5;100,6
"Mean:";124,67;83,87;104,8;101,07;94,39;99,47;119,53;104,26;95,93;98,52;113,19;102,18;109,24;108,26;103,44;94,45;99,91;145,03;118,69;122,43;106,57;116,91;101,67;96,21;111,07;98,87;101,15;101,29;101,85
"3rd QU:";133,55;91,85;109,8;105,5;99,95;119,8;125,55;109,1;98,45;100,8;120,15;104,3;112,3;116,4;107,15;102;101,5;161,4;126,85;130,25;111,15;125,2;105;99,85;113,1;100,65;103,1;106,4;107,7
"Max:";159,9;101,4;115,8;123,3;106,3;149;132,9;131,4;107,5;110,8;128;111,4;120,8;133,3;116,7;109,4;116,2;208,7;149,4;141,6;120,3;146,4;110,5;113,5;122,9;110,8;114,5;116,1;121
"VAR:";187,35;71,41;46,61;72,88;44,18;632,14;62,29;72,92;28,58;20,87;75,58;15,65;39,07;107,82;32,31;77,42;16,04;816,52;175,44;104,67;46,51;144,02;18,5;38,1;39,27;16,58;12,9;58,76;62,06
"SD:";13,68;8,45;6,82;8,53;6,64;25,14;7,89;8,53;5,34;4,56;8,69;3,95;6,25;10,38;5,68;8,79;4;28,57;13,24;10,23;6,82;12;4,3;6,17;6,26;4,07;3,59;7,66;7,87
"SE:";1,91;1,18;0,95;1,19;0,93;3,52;1,1;1,19;0,74;0,63;1,21;0,55;0,87;1,45;0,79;1,23;0,56;4;1,85;1,43;0,95;1,68;0,6;0,86;0,87;0,57;0,5;1,07;1,1
