"";"Belgium";"Bulgaria";"Czechia";"Denmark";"Germany";"Estonia";"Ireland";"Greece";"Spain";"France";"Croatia";"Cyprus";"Latvia";"Lithuania";"Luxembourg";"Hungary";"Malta";"Netherlands";"Austria";"Poland";"Portugal";"Romania";"Slovenia";"Slovakia";"Finland";"Sweden";"Norway";"Switzerland"
"N:";51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"NaN:";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Min:";90,3;101;106,9;99,3;103,1;103,8;95,1;76,6;75,8;78,3;87,4;86,5;103,6;108;21,1;107;91,7;100;86,8;109,6;90,4;113,7;96,6;94,8;103,2;102,4;100,2;83,2
"1sq QU:";99,85;111,4;113,8;102,45;106,35;106,35;112,25;100,4;104,85;107,7;106,55;113,95;108,5;114,75;30,3;114,65;108,3;105,4;101,9;116,55;108,3;129,35;111,45;108,5;105,9;104,85;102,2;100,8
"Median:";100,6;114,6;117,6;103,7;109,2;109,3;117,6;101,5;105,5;110,2;111,7;117,8;111,9;121,3;31,2;120,9;110,6;108,5;103,2;122,2;111,6;136,8;114,5;110,1;108;106,7;102,7;101,7
"Mean:";101,49;114,64;117,69;104,87;110,02;110,67;118,13;101,1;104,6;110,29;110,2;117,62;111,36;121,4;31,09;120,3;111,42;108,65;102,95;122,11;111,56;136,64;115,91;109,7;108,97;106,83;104,7;102,09
"3rd QU:";101,95;119,4;122,6;105,05;111,75;114,25;121,6;102,9;106,85;113,35;114,4;121,1;113,85;127,15;32,35;126,55;115,55;110,4;104,1;127,9;115,25;145,5;121,1;112,95;110,65;108,45;104,65;102,8
"Max:";113,8;128,8;125,4;124;123,1;121,7;137,1;106,1;109,7;122,1;121,1;131,3;119,7;139,2;35,5;132,2;123,1;118,1;111,9;136,8;124,5;153,7;135,2;115,9;117,4;115,8;117,4;118,1
"VAR:";13,49;36,57;28,12;19,54;21,46;26,21;69,26;18,74;29,56;45,57;32,29;49,48;17,32;67,24;4,2;49,57;31,66;16,24;20,5;59,1;29,73;108,31;51,7;21,38;16,31;7,24;20,27;19,52
"SD:";3,67;6,04;5,3;4,42;4,63;5,12;8,32;4,32;5,43;6,75;5,68;7,03;4,16;8,2;2,05;7,04;5,62;4,03;4,52;7,68;5,45;10,4;7,19;4,62;4,03;2,69;4,5;4,41
"SE:";0,51;0,84;0,74;0,61;0,64;0,71;1,16;0,6;0,76;0,94;0,79;0,98;0,58;1,14;0,28;0,98;0,78;0,56;0,63;1,07;0,76;1,45;1;0,64;0,56;0,37;0,63;0,61
